,Train Accuracy,Test Accuracy,Convergence Epoch
mean,0.8911111111111112,0.7200000000000001,1604.2
std,0.024088314876309788,0.044721359549995836,885.0357054944168
min,0.8555555555555555,0.7,21.0
max,0.9111111111111111,0.8,2000.0
