,Train Accuracy,Test Accuracy,Convergence Epoch
mean,0.768888888888889,0.7066666666666667,200.0
std,0.028879390651285818,0.036514837167011066,0.0
min,0.725925925925926,0.6666666666666666,200.0
max,0.8,0.7333333333333333,200.0
